InsumoLabor,Alias,TipoInsumo,Unidad,PrincipioActivo(Observacion)
GLUFOSINATO DE AMONIO 28,,AGR HERBICIDA ( - ),L,GLUFOSINATO DE AMONIO 28%
GRAMINI ELITE,10603500-GRAMINI ELITE,AGR HERBICIDA ( - ),L,CLETODIM 12% + HALOXIFOP 6%
HEAT,10601500-HEAT X 350 GR,AGR HERBICIDA ( - ),K,SAFLUFENACIL 70%
HISTICK PLUS INOCULANTE (pack 4000kg semilla),,AGR SEMILLA ( - ),PACK,HISTICK PLUS INOCULANTE (pack 4000kg semilla)
HOWLER,,AGR FERTILIZANTE ( - ),L,HOWLER
HUSSAR OD PLUS,10603600-HUSSAR OD PLUS,AGR HERBICIDA ( - ),PACK,HUSSAR OD PLUS
IMAZAPIR 25,,AGR HERBICIDA ( - ),K,IMAZAPIR 25%
KATRIN 80 P/10 HAS,10600300-KATRIN 80 (KIT P/10HAS),AGR HERBICIDA ( - ),PACK,IMAZAPIR 80%
"IMAZETAPIR 10,6",,AGR HERBICIDA ( - ),L,"IMAZETAPIR 10,6%"
INSIGNIA BIO,,AGR COADYUVANTE ( - ),L,INSIGNIA BIO
INTREPID,,AGR INSECTICIDA ( - ),L,LAMBDACIALOTRINA 5%
LAMBDACIALOTRINA 25,10900040-LAMBDACIALOTRINA 25%,AGR INSECTICIDA ( - ),L,LAMBDACIALOTRINA 25%
EXPEDITION,,AGR INSECTICIDA ( - ),L,LAMBDACIALOTRINA 25% GRANULADA
ELEVORE,,AGR HERBICIDA ( - ),L,TEMBOTRIONE 42% + ISOXADIFEN 21%
MATABIBOS,,AGR INSECTICIDA ( - ),K,CARBARIL 8%
MCPA 28,10602700-MCPA,AGR HERBICIDA ( - ),L,MCPA 28%
MCPA AMINA 75,,AGR HERBICIDA ( - ),L,MCPA AMINA 75%
MORATA ACE,,AGR HERBICIDA ( - ),L,MESOTRIONE 48%
METOLACLORO 96,,AGR HERBICIDA ( - ),L,METOLACLORO 96%
METRIBUZIN 48,10603700-METRIBUZIN 48,AGR HERBICIDA ( - ),L,METRIBUZIN 48%
METSULFURON 60,10602000-METSULFURON 60% EBC,AGR HERBICIDA ( - ),K,METSULFURON METIL 60%
MIRAVIS TRIPLE PACK,10500050-MIRAVIS TRIPLE PACK,AGR FUNGICIDA ( - ),PACK,MIRAVIS TRIPLE PACK
MISTRAL,,AGR INSECTICIDA ( - ),L,MISTRAL
MULCHEN OIL XTREM,,AGR COADYUVANTE ( - ),L,MULCHEN OIL XTREM
NITRAGIN CELL TECH ACTION PACK DIMENSION,,AGR SEMILLA ( - ),PACK,NITRAGIN CELL TECH ACTION PACK DIMENSION
NITRAGIN COMBI FULL ACTION,,AGR SEMILLA ( - ),PACK,NITRAGIN COMBI FULL ACTION
NITRAGIN OPTIMIZE II PACK FULL,,AGR SEMILLA ( - ),PACK,NITRAGIN OPTIMIZE II PACK FULL
NPA 15 FULL,,AGR COADYUVANTE ( - ),L,NPA 15 FULL
ONTARIO,,AGR HERBICIDA ( - ),L,IMAZAPIR 30%
OPERA,10500070-OPERA,AGR FUNGICIDA ( - ),L,OPERA
ORQUESTA ULTRA,,AGR FUNGICIDA ( - ),L,ORQUESTA ULTRA
"PARAQUAT 27,6","10601100-PARAQUAT 27,6%",AGR HERBICIDA ( - ),L,"PARAQUAT 27,6%"
PICLORAM 24,10603800-PICLORAM 24,AGR HERBICIDA ( - ),L,"PICLORAM SAL POTASICA 27,7%"
PRODIGIO,,AGR HERBICIDA ( - ),L,ACLONIFEN 60%
PRESIDE,,AGR HERBICIDA ( - ),L,FLUMETSULAM 12%
RIZODERMA (DOSIS P/100kg SEM),,AGR SEMILLA ( - ),DOSIS P/100KG,TRICHODERMA
INOCULANTE EBC ESTANDAR,10700030-INOCULANTE EBC ESTANDAR,AGR SEMILLA ( - ),PACK,INOCULANTE EBC ESTANDAR
BIOPROTECTOR INOCULANTE EBC,,AGR SEMILLA ( - ),LT,INOCULANTE EBC ESTANDAR
FLOW SISTEMIC EBC,,AGR SEMILLA ( - ),LT,INOCULANTE EBC ESTANDAR
RIZOSPRAY EXTREMO,10602800-RIZOSPRAY EXTREMO,AGR COADYUVANTE ( - ),L,ACEITE METILADO DE SOJA
RIZOSPRAY INTEGRUM,,AGR COADYUVANTE ( - ),L,ACEITE METILADO DE SOJA
S-METOLACLORO 96,10600500-S-METOLACLORO 96,AGR HERBICIDA ( - ),L,S-METOLACLORO 96%
SCENIC,,AGR SEMILLA ( - ),L,SCENIC
SILWET,,AGR COADYUVANTE ( - ),L,SILWET
SISTIVA + PREMIS,,AGR SEMILLA ( - ),PACK,SISTIVA + PREMIS
SISTIVA + PREMIS (DOSIS P/100KG),,AGR SEMILLA ( - ),DOSIS P/100KG,SISTIVA + PREMIS (DOSIS P/100KG)
SMARTFOIL,,AGR FERTILIZANTE ( - ),L,SMARTFOIL
SPEEDWET MAXION NG,,AGR COADYUVANTE ( - ),L,SPEEDWET MAXION NG
SPIDER,,AGR HERBICIDA ( - ),K,DICLOSULAM 84%
